Protocol,Service,Flag,Class,Duration,Src_Bytes,Dst_Bytes,Traffic_Count
tcp,ftp_data,SF,normal,Zero,Low,Zero,Normal
udp,other,SF,normal,Zero,Low,Zero,High
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,http,SF,normal,Zero,Low,Low,High
tcp,private,REJ,neptune,Zero,Zero,Zero,Surge
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,remote_job,S0,neptune,Zero,Zero,Zero,Surge
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,private,REJ,neptune,Zero,Zero,Zero,Surge
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,ftp_data,SF,warezclient,Zero,Low,Zero,Normal
tcp,name,S0,neptune,Zero,Zero,Zero,Surge
tcp,netbios_ns,S0,neptune,Zero,Zero,Zero,High
tcp,http,SF,normal,Zero,Low,High,Normal
icmp,eco_i,SF,ipsweep,Zero,Low,Zero,Normal
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,mtp,S0,neptune,Zero,Zero,Zero,Surge
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,High,Normal
udp,other,SF,normal,Long,Low,Low,Normal
tcp,mtp,S0,neptune,Zero,Zero,Zero,Surge
tcp,telnet,SF,normal,Long,Low,High,Normal
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,http,SF,normal,Zero,Low,High,High
tcp,http,SF,normal,Zero,Low,Medium,High
icmp,eco_i,SF,ipsweep,Zero,Low,Zero,Normal
tcp,finger,S0,neptune,Zero,Zero,Zero,High
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,private,REJ,portsweep,Zero,Zero,Zero,Normal
udp,domain_u,SF,normal,Zero,Low,Low,Surge
udp,private,SF,normal,Short,Low,Low,Normal
udp,domain_u,SF,normal,Zero,Low,Low,Surge
tcp,supdup,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Medium,High
tcp,uucp_path,S0,neptune,Zero,Zero,Zero,Surge
tcp,ftp_data,S0,neptune,Zero,Zero,Zero,High
tcp,Z39_50,S0,neptune,Zero,Zero,Zero,Surge
tcp,smtp,SF,normal,Short,Medium,Low,Normal
udp,other,SF,normal,Long,Low,Low,Normal
tcp,http,SF,normal,Zero,Low,Medium,High
tcp,csnet_ns,S0,neptune,Zero,Zero,Zero,Surge
udp,private,SF,teardrop,Zero,Low,Zero,High
tcp,http,SF,normal,Zero,Low,Low,High
tcp,ftp_data,SF,warezclient,Zero,Low,Zero,Normal
tcp,ftp_data,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,private,REJ,neptune,Zero,Zero,Zero,High
udp,private,SF,teardrop,Zero,Low,Zero,Normal
tcp,http,SF,normal,Zero,Low,Medium,High
udp,domain_u,SF,normal,Zero,Low,Low,Surge
udp,domain_u,SF,normal,Zero,Low,Low,High
icmp,eco_i,SF,nmap,Zero,Low,Zero,Normal
tcp,uucp,S0,neptune,Zero,Zero,Zero,Surge
tcp,finger,S0,neptune,Zero,Zero,Zero,High
udp,domain_u,SF,normal,Zero,Low,Low,Surge
tcp,ftp_data,SF,normal,Zero,Low,Zero,Normal
tcp,private,REJ,neptune,Zero,Zero,Zero,Surge
tcp,private,REJ,satan,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,private,REJ,neptune,Zero,Zero,Zero,High
tcp,smtp,SF,normal,Zero,Low,Low,Normal
tcp,netbios_dgm,RSTR,portsweep,Zero,Zero,Zero,Normal
tcp,http,S0,neptune,Zero,Zero,Zero,High
tcp,netbios_dgm,REJ,neptune,Zero,Zero,Zero,Surge
tcp,supdup,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
icmp,urp_i,SF,normal,Zero,Low,Zero,Normal
udp,domain_u,SF,normal,Zero,Low,Low,Normal
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,ftp_data,SF,normal,Zero,Low,Zero,Normal
tcp,auth,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,private,REJ,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,uucp_path,REJ,neptune,Zero,Zero,Zero,Surge
tcp,domain,S0,neptune,Zero,Zero,Zero,Surge
icmp,eco_i,SF,ipsweep,Zero,Low,Zero,Normal
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,ftp,S0,neptune,Zero,Zero,Zero,Surge
tcp,private,REJ,neptune,Zero,Zero,Zero,Surge
udp,other,SF,normal,Long,Low,Low,Normal
tcp,http,SF,normal,Zero,Low,Medium,High
tcp,http,SF,normal,Zero,Low,Medium,Normal
udp,domain_u,SF,normal,Zero,Low,Low,Surge
tcp,private,REJ,neptune,Zero,Zero,Zero,Surge
tcp,csnet_ns,S0,neptune,Zero,Zero,Zero,Surge
tcp,smtp,SF,normal,Short,Medium,Low,Normal
udp,other,SF,normal,Zero,Low,Low,Normal
tcp,http,SF,normal,Zero,Low,Low,Normal
udp,other,SF,normal,Long,Low,Low,Normal
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Zero,Low,High
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,http,REJ,normal,Zero,Zero,Zero,Normal
tcp,http,SF,normal,Zero,Low,Medium,Normal
udp,private,SF,teardrop,Zero,Low,Zero,High
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,http,SF,normal,Zero,Low,Medium,High
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,http,SF,normal,Zero,Low,Medium,High
tcp,http,REJ,normal,Zero,Zero,Zero,Normal
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,smtp,SF,normal,Zero,Medium,Low,Normal
tcp,http,REJ,normal,Zero,Zero,Zero,Normal
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,private,RSTR,portsweep,Long,Low,Zero,Normal
tcp,Z39_50,REJ,neptune,Zero,Zero,Zero,Surge
udp,private,SF,normal,Zero,Low,Low,Normal
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,uucp_path,REJ,neptune,Zero,Zero,Zero,Surge
tcp,bgp,REJ,neptune,Zero,Zero,Zero,Surge
tcp,csnet_ns,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Long,Low,Low,Normal
tcp,bgp,S0,neptune,Zero,Zero,Zero,Surge
tcp,finger,SF,normal,Zero,Low,Low,Normal
udp,domain_u,SF,normal,Zero,Low,Low,High
tcp,smtp,SF,normal,Short,Medium,Low,Normal
udp,domain_u,SF,normal,Zero,Low,Low,High
tcp,ftp,SF,normal,Short,Low,Low,Normal
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,ldap,REJ,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,supdup,S0,neptune,Zero,Zero,Zero,Surge
udp,other,SF,normal,Zero,Low,Zero,Normal
tcp,http,SF,normal,Zero,Low,Medium,Normal
icmp,ecr_i,SF,smurf,Zero,Medium,Zero,Surge
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,bgp,REJ,neptune,Zero,Zero,Zero,Surge
tcp,netbios_dgm,REJ,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,http,SF,normal,Zero,Low,High,Normal
tcp,gopher,SH,nmap,Zero,Zero,Zero,Normal
tcp,http,SF,normal,Zero,Low,High,Normal
tcp,ftp_data,SF,warezclient,Zero,Low,Zero,Normal
tcp,telnet,S0,neptune,Zero,Zero,Zero,High
tcp,private,S0,neptune,Zero,Zero,Zero,High
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,vmnet,S0,neptune,Zero,Zero,Zero,Surge
tcp,systat,S0,neptune,Zero,Zero,Zero,Surge
tcp,http_443,S0,neptune,Zero,Zero,Zero,Surge
udp,domain_u,SF,normal,Zero,Low,Low,Surge
tcp,ftp_data,SF,normal,Zero,Low,Zero,Normal
tcp,efs,S0,neptune,Zero,Zero,Zero,Surge
icmp,eco_i,SF,ipsweep,Zero,Low,Zero,Normal
tcp,whois,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,SF,normal,Zero,Low,Medium,Normal
tcp,ftp_data,SF,normal,Zero,Low,Zero,Normal
udp,domain_u,SF,normal,Zero,Low,Low,Surge
tcp,ftp_data,SF,normal,Zero,Medium,Zero,Normal
tcp,remote_job,S0,neptune,Zero,Zero,Zero,Surge
tcp,other,RSTR,portsweep,Long,Low,Zero,Normal
tcp,finger,SF,normal,Short,Low,Low,Normal
tcp,http,SF,normal,Zero,Low,Low,Normal
tcp,ftp_data,SF,normal,Zero,Low,Zero,Normal
tcp,http,SF,normal,Zero,Low,Low,High
tcp,gopher,S0,neptune,Zero,Zero,Zero,High
tcp,http,SF,normal,Zero,Low,Medium,Normal
icmp,ecr_i,SF,smurf,Zero,Medium,Zero,Surge
tcp,imap4,REJ,neptune,Zero,Zero,Zero,Surge
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,whois,S0,neptune,Zero,Zero,Zero,Surge
tcp,http,REJ,normal,Zero,Zero,Zero,Normal
tcp,other,REJ,satan,Zero,Zero,Zero,Surge
udp,other,SF,satan,Zero,Low,Zero,High
tcp,iso_tsap,S0,neptune,Zero,Zero,Zero,Surge
icmp,ecr_i,SF,normal,Zero,Low,Zero,Normal
tcp,smtp,SF,normal,Short,Medium,Low,Normal
tcp,ftp_data,SF,normal,Zero,Low,Zero,Normal
tcp,smtp,SF,normal,Zero,Low,Low,Normal
udp,private,SF,teardrop,Zero,Low,Zero,High
tcp,ftp_data,S0,neptune,Zero,Zero,Zero,High
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,private,S0,neptune,Zero,Zero,Zero,Surge
tcp,smtp,SF,normal,Zero,Medium,Low,Normal
tcp,http,SF,normal,Zero,Low,Low,High
