antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'SF', 'domain_u'})","frozenset({'Zero', 'normal', 'udp'})",0.0722451571927596,0.08312162591298825,0.06950619244204509,0.962087912087912,11.574459733198989,1.0,0.0635010575118435,24.18432812809214,0.9847460090529917,0.8095238095238094,0.9586509083608399,0.8991432874670697
"frozenset({'Low', 'domain_u'})","frozenset({'Zero', 'normal', 'udp'})",0.0722451571927596,0.08312162591298825,0.06950619244204509,0.962087912087912,11.574459733198989,1.0,0.0635010575118435,24.18432812809214,0.9847460090529917,0.8095238095238094,0.9586509083608399,0.8991432874670697
frozenset({'domain_u'}),"frozenset({'Zero', 'Low', 'normal', 'udp'})",0.0722451571927596,0.08312162591298825,0.06950619244204509,0.962087912087912,11.574459733198989,1.0,0.0635010575118435,24.18432812809214,0.9847460090529917,0.8095238095238094,0.9586509083608399,0.8991432874670697
frozenset({'domain_u'}),"frozenset({'Zero', 'SF', 'normal', 'Low', 'udp'})",0.0722451571927596,0.08312162591298825,0.06950619244204509,0.962087912087912,11.574459733198989,1.0,0.0635010575118435,24.18432812809214,0.9847460090529917,0.8095238095238094,0.9586509083608399,0.8991432874670697
"frozenset({'Low', 'SF', 'domain_u'})","frozenset({'Zero', 'normal', 'udp'})",0.0722451571927596,0.08312162591298825,0.06950619244204509,0.962087912087912,11.574459733198989,1.0,0.0635010575118435,24.18432812809214,0.9847460090529917,0.8095238095238094,0.9586509083608399,0.8991432874670697
"frozenset({'SF', 'domain_u'})","frozenset({'Zero', 'Low', 'normal', 'udp'})",0.0722451571927596,0.08312162591298825,0.06950619244204509,0.962087912087912,11.574459733198989,1.0,0.0635010575118435,24.18432812809214,0.9847460090529917,0.8095238095238094,0.9586509083608399,0.8991432874670697
"frozenset({'Low', 'domain_u'})","frozenset({'Zero', 'normal', 'SF', 'udp'})",0.0722451571927596,0.08312162591298825,0.06950619244204509,0.962087912087912,11.574459733198989,1.0,0.0635010575118435,24.18432812809214,0.9847460090529917,0.8095238095238094,0.9586509083608399,0.8991432874670697
frozenset({'domain_u'}),"frozenset({'Zero', 'normal', 'udp'})",0.0722451571927596,0.08312162591298825,0.06950619244204509,0.962087912087912,11.574459733198989,1.0,0.0635010575118435,24.18432812809214,0.9847460090529917,0.8095238095238094,0.9586509083608399,0.8991432874670697
frozenset({'domain_u'}),"frozenset({'Zero', 'normal', 'SF', 'udp'})",0.0722451571927596,0.08312162591298825,0.06950619244204509,0.962087912087912,11.574459733198989,1.0,0.0635010575118435,24.18432812809214,0.9847460090529917,0.8095238095238094,0.9586509083608399,0.8991432874670697
frozenset({'domain_u'}),"frozenset({'Low', 'normal', 'SF', 'udp'})",0.0722451571927596,0.09951571927596062,0.0721260717688155,0.9983516483516484,10.032100010081662,1.0,0.06493654298657318,546.2937969725858,0.9704287506201297,0.7239043824701195,0.9981694831507483,0.8615611452767415
